team,elo_rating
Mist,1601.6361092385187
Phantom,1600.2319957889724
Laces,1542.5488581765162
Breeze,1468.5387875519218
Vinyl,1462.2137057748898
Rose,1454.7859633952232
Lunar Owls,1436.0027001270971
Hive,1434.0418799468607
