game_id,season,is_starter,player_name,MIN,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,two_point_field_goals_made,two_point_field_goals_attempted,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
4eqyt7yhtfqo,2026,TRUE,Dearica Hamby #5,16.3,4,10,0,1,0,2,4,9,5,0,5,0,0,0,2,5,8
4eqyt7yhtfqo,2026,TRUE,Rhyne Howard #44,21.4,8,20,2,8,2,2,6,12,5,0,5,1,2,2,0,4,20
4eqyt7yhtfqo,2026,TRUE,Courtney Williams #10,15.7,7,10,0,1,0,0,7,9,5,0,5,4,0,0,2,1,14
4eqyt7yhtfqo,2026,FALSE,Rae Burrell #12,4.3,0,1,0,0,2,2,0,1,2,0,2,0,1,0,2,1,3
4eqyt7yhtfqo,2026,FALSE,Brittney Griner #42,6.4,1,3,0,0,2,2,1,3,4,2,2,0,0,0,3,3,5
4eqyt7yhtfqo,2026,FALSE,Erica Wheeler #17,8.5,3,7,0,2,1,1,3,5,1,0,1,1,0,0,0,3,7
6d69v7ar0xev,2026,TRUE,Paige Bueckers #5,20.4,14,19,5,8,2,2,9,11,8,0,8,5,0,1,1,3,37
6d69v7ar0xev,2026,TRUE,Rickea Jackson #2,18.2,3,11,1,4,2,2,2,7,2,0,2,7,1,0,2,3,10
6d69v7ar0xev,2026,TRUE,Dominique Malonga #14,11.8,5,12,0,1,3,3,5,11,16,5,11,1,0,3,1,4,16
6d69v7ar0xev,2026,FALSE,Cameron Brink #22,13.5,6,12,1,2,2,3,5,10,6,2,4,1,0,1,2,4,18
6d69v7ar0xev,2026,FALSE,Kate Martin #20,12.0,0,4,0,1,1,1,0,3,9,2,7,1,0,0,2,4,2
6d69v7ar0xev,2026,FALSE,Aari McDonald #3,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f5ka0iwfzzq7,2026,TRUE,Veronica Burton #22,16.4,4,9,3,6,2,2,1,3,4,2,2,6,0,0,0,4,15
f5ka0iwfzzq7,2026,TRUE,Allisha Gray #15,18.1,10,19,5,11,1,2,5,8,1,0,1,3,2,2,0,1,28
f5ka0iwfzzq7,2026,TRUE,Breanna Stewart #30,15.1,9,13,1,1,0,1,8,12,11,0,11,4,0,0,2,0,19
f5ka0iwfzzq7,2026,FALSE,Arike Ogunbowale #24,12,8,12,3,4,1,2,5,8,3,1,2,3,1,0,2,1,21
f5ka0iwfzzq7,2026,FALSE,Alanna Smith #8,8.4,2,4,0,2,0,1,2,2,7,2,5,0,1,0,1,1,4
f5ka0iwfzzq7,2026,FALSE,Li Yueru #28,6.1,1,2,0,1,0,0,1,1,2,0,2,1,0,1,0,2,2
m0a5r2dtoddj,2026,TRUE,Aliyah Boston #7,15.6,8,17,1,6,2,2,7,11,11,2,9,2,0,1,2,6,21
m0a5r2dtoddj,2026,TRUE,Tiffany Hayes #31,12.7,4,9,3,6,1,1,1,3,4,1,3,6,0,0,0,5,12
m0a5r2dtoddj,2026,TRUE,Kelsey Plum #10,19.6,7,18,2,7,2,2,5,11,3,1,2,3,0,0,0,2,18
m0a5r2dtoddj,2026,FALSE,Natasha Cloud #15,19.4,5,8,2,5,0,0,3,3,4,0,4,3,0,0,0,3,12
m0a5r2dtoddj,2026,FALSE,Kiki Iriafen #44,10.2,7,13,1,2,0,0,6,11,7,4,3,1,1,0,1,2,15
m0a5r2dtoddj,2026,FALSE,Dana Evans #11,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m0a5r2dtoddj,2026,FALSE,Satou Sabally #0,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
