"game_id","quarter","time","minute","second","play","pos_team","away_score","home_score","season"
"225g2kfh1838",2,"6:23",6,23,"Aliyah Boston misses two point shot","Vinyl",12,19,2025
"225g2kfh1838",2,"6:23",6,23,"Azurá Stevens defensive rebound","Rose",12,19,2025
"225g2kfh1838",2,"6:18",6,18,"Chelsea Gray makes three point shot","Rose",12,22,2025
"225g2kfh1838",2,"5:59",5,59,"Rhyne Howard misses two point shot","Vinyl",12,22,2025
"225g2kfh1838",2,"5:58",5,58,"Azurá Stevens defensive rebound","Rose",12,22,2025
"225g2kfh1838",2,"5:51",5,51,"Chelsea Gray makes three point shot","Rose",12,25,2025
"225g2kfh1838",2,"5:43",5,43,"Lexie Hull personal foul","Rose",12,25,2025
"225g2kfh1838",2,"5:35",5,35,"Rhyne Howard misses two point shot","Vinyl",12,25,2025
"225g2kfh1838",2,"5:35",5,35,"Aliyah Boston offensive rebound","Vinyl",12,25,2025
"225g2kfh1838",2,"5:29",5,29,"Aliyah Boston makes two point shot","Vinyl",14,25,2025
"225g2kfh1838",2,"5:24",5,24,"Lexie Hull makes two point shot","Rose",14,27,2025
"225g2kfh1838",2,"5:24",5,24,"Chelsea Gray assist","Rose",14,27,2025
"225g2kfh1838",2,"5:07",5,7,"Rae Burrell bad pass turnover","Vinyl",14,27,2025
"225g2kfh1838",2,"4:59",4,59,"Chelsea Gray makes two point shot","Rose",14,29,2025
"225g2kfh1838",2,"4:49",4,49,"Lexie Hull personal foul","Rose",14,29,2025
"225g2kfh1838",2,"4:46",4,46,"Chelsea Gray personal foul","Rose",14,29,2025
"225g2kfh1838",2,"4:38",4,38,"Jordin Canada misses two point shot","Vinyl",14,29,2025
"225g2kfh1838",2,"4:37",4,37,"Angel Reese defensive rebound","Rose",14,29,2025
"225g2kfh1838",2,"4:34",4,34,"Jordin Canada personal foul","Vinyl",14,29,2025
"225g2kfh1838",2,"4:28",4,28,"Chelsea Gray misses three point shot","Rose",14,29,2025
"225g2kfh1838",2,"4:27",4,27,"Dearica Hamby defensive rebound","Vinyl",14,29,2025
"225g2kfh1838",2,"4:23",4,23,"Dearica Hamby assist","Vinyl",14,29,2025
"225g2kfh1838",2,"4:23",4,23,"Rae Burrell makes two point shot","Vinyl",16,29,2025
"225g2kfh1838",2,"4:07",4,7,"Angel Reese misses two point shot","Rose",16,29,2025
"225g2kfh1838",2,"4:07",4,7,"Angel Reese offensive rebound","Rose",16,29,2025
"225g2kfh1838",2,"4:05",4,5,"Angel Reese makes two point shot","Rose",16,31,2025
"225g2kfh1838",2,"3:56",3,56,"Dearica Hamby misses two point shot","Vinyl",16,31,2025
"225g2kfh1838",2,"3:56",3,56,"Dearica Hamby offensive rebound","Vinyl",16,31,2025
"225g2kfh1838",2,"3:54",3,54,"Dearica Hamby misses two point shot","Vinyl",16,31,2025
"225g2kfh1838",2,"3:54",3,54,"Angel Reese defensive rebound","Rose",16,31,2025
"225g2kfh1838",2,"3:47",3,47,"Brittney Sykes misses two point shot","Rose",16,31,2025
"225g2kfh1838",2,"3:47",3,47,"Angel Reese offensive rebound","Rose",16,31,2025
