team,elo_rating
Lunar Owls,1616.5172926223852
Rose,1562.0585467130188
Breeze,1500
Hive,1500
Laces,1474.0348544527303
Mist,1462.197161340872
Vinyl,1455.0153174011386
Phantom,1430.176827469855
