date,team,score,opponent,opponent_score,is_home,result,point_differential,season_type,wins,losses,games_played,h2h_wins,rank
2025-01-27,Vinyl,57,Lunar Owls,67,TRUE,L,7,REG,2,2,4,0,3
2025-02-21,Mist,65,Vinyl,72,FALSE,L,-40,REG,2,7,9,0,6
2025-01-17,Vinyl,79,Rose,73,FALSE,W,6,REG,1,0,1,3,1
2025-01-31,Rose,63,Phantom,75,FALSE,L,-29,REG,1,4,5,2,5
2025-01-25,Rose,71,Mist,66,FALSE,W,-10,REG,1,2,3,1,4
2025-01-27,Rose,64,Laces,71,TRUE,L,-17,REG,1,3,4,1,4
2025-02-01,Mist,77,Vinyl,67,TRUE,W,-24,REG,1,4,5,1,6
2025-01-24,Phantom,74,Mist,69,TRUE,W,-48,REG,1,2,3,1,5
2025-01-25,Phantom,58,Lunar Owls,82,FALSE,L,-72,REG,1,3,4,1,5
2025-01-18,Laces,86,Phantom,48,FALSE,W,38,REG,1,0,1,0,2
2025-01-17,Lunar Owls,84,Mist,80,FALSE,W,4,REG,1,0,1,0,3
2025-01-17,Rose,73,Vinyl,79,TRUE,L,-6,REG,0,1,1,2,4
2025-01-18,Rose,70,Lunar Owls,79,FALSE,L,-15,REG,0,2,2,2,4
2025-01-17,Mist,80,Lunar Owls,84,TRUE,L,-4,REG,0,1,1,1,5
2025-01-20,Mist,43,Laces,63,FALSE,L,-24,REG,0,2,2,1,5
2025-01-18,Phantom,48,Laces,86,TRUE,L,-38,REG,0,1,1,1,6
2025-01-20,Phantom,69,Vinyl,84,FALSE,L,-53,REG,0,2,2,1,6
2025-01-24,Mist,69,Phantom,74,FALSE,L,-29,REG,0,3,3,0,6
2025-01-25,Mist,66,Rose,71,TRUE,L,-34,REG,0,4,4,0,6
